1;"Абрау-Дюрсо";"Новороссийский"
2;"Адербиевка";"Геленджикский"
3;"Анапа";"Анапский"
4;"Анапская";"Анапский"
5;"Артющенко";"Темрюкский"
6;"Архипо-Осиповка";"Геленджикский"
7;"Афонка";"Геленджикский"
8;"Ахтанизовская";"Темрюкский"
9;"Батарейка";"Темрюкский"
10;"Белый";"Темрюкский"
11;"Береговое";"Геленджикский"
12;"Береговой";"Темрюкский"
13;"Бетта";"Геленджикский"
14;"Благовещенская";"Анапский"
15;"Большие Хутора";"Новороссийский"
16;"Борисовка";"Новороссийский"
17;"Бужор";"Анапский"
18;"Варваровка";"Анапский"
19;"Васильевка";"Новороссийский"
20;"Верхнебаканский";"Новороссийский"
21;"Верхнее Джемете";"Анапский"
22;"Верхний Ханчакрак";"Анапский"
23;"Верхний Чекон";"Анапский"
24;"Веселая горка";"Анапский"
25;"Веселовка (Янтарь)";"Темрюкский"
26;"Вестник";"Анапский"
27;"Виноградное";"Геленджикский"
28;"Виноградный";"Анапский"
29;"Виноградный";"Темрюкский"
30;"Витязево";"Анапский"
31;"Владимировка";"Новороссийский"
32;"Возрождение";"Геленджикский"
33;"Волна Революции";"Темрюкский"
34;"Волна";"Темрюкский"
35;"Воскресенский";"Анапский"
36;"Вышестеблиевская";"Темрюкский"
37;"Гайдук";"Новороссийский"
38;"Гайкодзор";"Анапский"
39;"Гаркуша";"Темрюкский"
40;"Геленджик";"Геленджикский"
41;"Глебовское";"Новороссийский"
42;"Голубицкая";"Темрюкский"
43;"Горный";"Новороссийский"
44;"Гостагаевская";"Анапский"
45;"Джанхот";"Геленджикский"
46;"Джемете";"Анапский"
47;"Джигинка";"Анапский"
48;"Дивноморское";"Геленджикский"
49;"Дюрсо";"Новороссийский"
50;"За Родину";"Темрюкский"
51;"Запорожская";"Темрюкский"
52;"Заря";"Анапский"
53;"Иваново";"Анапский"
54;"Ильич";"Темрюкский"
55;"Кабардинка";"Геленджикский"
56;"Капустино";"Анапский"
57;"Киблерово";"Анапский"
58;"Кирилловка";"Новороссийский"
59;"Красная Горка";"Анапский"
60;"Красная Скала";"Анапский"
61;"Красноармейский";"Темрюкский"
62;"Красный Курган";"Анапский"
63;"Красный Октябрь";"Темрюкский"
64;"Красный";"Анапский"
65;"Криница";"Геленджикский"
66;"Куматырь";"Анапский"
67;"Курбацкий";"Анапский"
68;"Курчанская";"Темрюкский"
69;"Кучугуры";"Темрюкский"
70;"Ленинский Путь";"Новороссийский"
71;"Лесничество Абрау-Дюрсо";"Новороссийский"
72;"Лиманный";"Анапский"
73;"Малый Разнокол";"Анапский"
74;"Малый Чекон";"Анапский"
75;"Марьина Роща";"Геленджикский"
76;"Михайловский Перевал";"Геленджикский"
77;"Мысхако";"Новороссийский"
78;"Натухаевская";"Новороссийский"
79;"Нижняя Гостагайка";"Анапский"
80;"Новороссийск";"Новороссийский"
81;"Павловка";"Анапский"
82;"Пересыпь";"Темрюкский"
83;"Песчаный";"Анапский"
84;"Победа";"Новороссийский"
85;"Прасковеевка";"Геленджикский"
86;"Приазовский";"Темрюкский"
87;"Приморский";"Темрюкский"
88;"Прогресс";"Темрюкский"
89;"Просторный";"Анапский"
90;"Пшада";"Геленджикский"
91;"Пятихатки";"Анапский"
92;"Раевская";"Новороссийский"
93;"Разнокол";"Анапский"
94;"Рассвет";"Анапский"
95;"Светлый Путь";"Темрюкский"
96;"Светлый";"Геленджикский"
97;"Северная Озереевка";"Новороссийский"
98;"Семигорский";"Новороссийский"
99;"Сенной";"Темрюкский"
100;"Соленый";"Темрюкский"
101;"Старотитаровская";"Темрюкский"
102;"Стрелка";"Темрюкский"
103;"Суворово-Черкесский";"Анапский"
104;"Сукко";"Анапский"
105;"Супсех";"Анапский"
106;"Таманский";"Темрюкский"
107;"Тамань";"Темрюкский"
108;"Тарусино";"Анапский"
109;"Текос";"Геленджикский"
110;"Темрюк";"Темрюкский"
111;"Тешебс";"Геленджикский"
112;"Убых";"Новороссийский"
113;"Усатова Балка";"Анапский"
114;"Уташ";"Анапский"
115;"Утриш";"Анапский"
116;"Фадеево";"Анапский"
117;"Федотовка";"Новороссийский"
118;"Фонталовская";"Темрюкский"
119;"Цемдолина";"Новороссийский"
120;"Цыбанобалка";"Анапский"
121;"Чекон";"Анапский"
122;"Чембурка";"Анапский"
123;"Черный";"Анапский"
124;"Широкая Балка";"Новороссийский"
125;"Широкая Пшадская Щель";"Геленджикский"
126;"Широкая Щель";"Геленджикский"
127;"Юбилейный";"Темрюкский"
128;"Южная Озереевка";"Новороссийский"
129;"Юровка";"Анапский"
